dy & \multicolumn{3}{c}{erro} & \multicolumn{3}{c}{Nc} \\
 & erro1 & erro2 & Nc_{xx} & Nc_{yy} & Nc_{zz} \\
1 0.01 & 1.96 & 0.006733 & -0.023487 & 0.016754 \\
4 0.01 & 1.92 & 0.004844 & -0.015021 & 0.010176 \\
7 0.01 & 1.90 & 0.004057 & -0.011438 & 0.007381 \\
10 0.01 & 1.88 & 0.003477 & -0.009199 & 0.005721 \\
13 0.01 & 1.87 & 0.003023 & -0.007640 & 0.004617 \\
16 0.01 & 1.86 & 0.002657 & -0.006484 & 0.003828 \\
19 0.01 & 1.84 & 0.002353 & -0.005591 & 0.003237 \\
22 0.01 & 1.83 & 0.002099 & -0.004879 & 0.002780 \\
25 0.01 & 1.82 & 0.001882 & -0.004299 & 0.002417 \\
28 0.00 & 1.81 & 0.001697 & -0.003819 & 0.002122 \\
31 0.00 & 1.79 & 0.001536 & -0.003415 & 0.001879 \\
34 0.00 & 1.78 & 0.001396 & -0.003072 & 0.001675 \\
37 0.00 & 1.77 & 0.001274 & -0.002777 & 0.001504 \\
40 0.00 & 1.76 & 0.001166 & -0.002522 & 0.001357 \\
43 0.00 & 1.75 & 0.001070 & -0.002300 & 0.001230 \\
46 0.00 & 1.74 & 0.000985 & -0.002105 & 0.001120 \\
49 0.00 & 1.73 & 0.000909 & -0.001933 & 0.001024 \\
52 0.00 & 1.71 & 0.000841 & -0.001781 & 0.000940 \\
55 0.00 & 1.70 & 0.000780 & -0.001645 & 0.000865 \\
58 0.00 & 1.69 & 0.000725 & -0.001524 & 0.000798 \\
61 0.00 & 1.69 & 0.000676 & -0.001415 & 0.000739 \\
64 0.00 & 1.69 & 0.000630 & -0.001316 & 0.000686 \\
67 0.00 & 1.69 & 0.000589 & -0.001227 & 0.000638 \\
70 0.00 & 1.69 & 0.000552 & -0.001147 & 0.000595 \\
73 0.00 & 1.69 & 0.000518 & -0.001073 & 0.000556 \\
76 0.00 & 1.69 & 0.000486 & -0.001006 & 0.000520 \\
79 0.00 & 1.69 & 0.000458 & -0.000945 & 0.000488 \\
82 0.00 & 1.69 & 0.000431 & -0.000889 & 0.000458 \\
85 0.00 & 1.69 & 0.000407 & -0.000837 & 0.000431 \\
88 0.00 & 1.69 & 0.000384 & -0.000790 & 0.000406 \\
91 0.00 & 0.29 & 0.000363 & -0.000746 & 0.000383 \\
94 0.00 & 0.21 & 0.000344 & -0.000705 & 0.000362 \\
97 0.00 & 0.17 & 0.000326 & -0.000668 & 0.000342 \\
100 0.00 & 0.15 & 0.000309 & -0.000633 & 0.000324 \\
103 0.00 & 0.13 & 0.000294 & -0.000601 & 0.000307 \\
106 0.00 & 0.12 & 0.000279 & -0.000571 & 0.000291 \\
109 0.00 & 0.11 & 0.000266 & -0.000543 & 0.000277 \\
112 0.00 & 0.10 & 0.000253 & -0.000516 & 0.000263 \\
115 0.00 & 0.09 & 0.000241 & -0.000492 & 0.000251 \\
118 0.00 & 0.08 & 0.000230 & -0.000469 & 0.000239 \\
121 0.00 & 0.08 & 0.000220 & -0.000448 & 0.000228 \\
124 0.00 & 0.07 & 0.000210 & -0.000427 & 0.000217 \\
127 0.00 & 0.07 & 0.000201 & -0.000409 & 0.000208 \\
130 0.00 & 0.06 & 0.000192 & -0.000391 & 0.000198 \\
133 0.00 & 0.06 & 0.000184 & -0.000374 & 0.000190 \\
136 0.00 & 0.05 & 0.000177 & -0.000358 & 0.000182 \\
139 0.00 & 0.05 & 0.000169 & -0.000343 & 0.000174 \\
142 0.00 & 0.05 & 0.000162 & -0.000329 & 0.000167 \\
145 0.00 & 0.05 & 0.000156 & -0.000316 & 0.000160 \\
148 0.00 & 0.04 & 0.000150 & -0.000304 & 0.000154 \\
